Number,Description,Type,Gym
55,Octane Fitness ZR8000 Free Runner,Equipment,Wilson
56,Octane Fitness ZR8000 Free Runner,Equipment,Wilson
57,L F Achieve Elliptical 95XS,Equipment,Wilson
58,Life Fitness Stairmaster,Equipment,Wilson
59,INTENZA 550CI,Equipment,Wilson
60,Life Fitness Power Mill,Equipment,Wilson
61,Life Fitness Power Mill,Equipment,Wilson
62,Elevation Series Treadmill,Equipment,Wilson
63,Elevation Series Treadmill,Equipment,Wilson
64,Elevation Series Treadmill,Equipment,Wilson
65,Elevation Series Treadmill,Equipment,Wilson
66,IC7,Equipment,Wilson
67,IC7,Equipment,Wilson
68,SCIFIT Systems,Equipment,Wilson
NULL,Wilson Multipurpose 110,Space,Wilson
NULL,Wilson Multipurpose 125,Space,Wilson
NULL,Functional Training Space,Space,Wilson
NULL,Racquetball Court,Space,Wilson
NULL,Spin Room,Space,Wilson
NULL,Basketball Court 1,Space,Wilson
NULL,Basketball Court 2,Space,Wilson
NULL,Basketball Court 3,Space,Wilson
NULL,Track,Space,Wilson
NULL,Classroom 018,Space,Wilson
NULL,Classroom 020,Space,Wilson
NULL,Climbing Wall,Space,Wilson
NULL,Multipurpose Room,Space,Brodie
NULL,Upper Courts 1,Space,Brodie
NULL,Lower Courts 1,Space,Brodie
NULL,Lower Courts 2,Space,Brodie
NULL,Pool,Space,Brodie
NULL,Classroom 208,Space,Brodie
NULL,Mind and Body Studio,Space,Brodie
NULL,Track,Space,Brodie
1,Life Fitness 95XS Elliptical,Equipment,Brodie
2,Life Fitness 95XS Elliptical,Equipment,Brodie
3,Stairmaster,Equipment,Brodie
4,Life Fitness - Integrity CLSC Upright Bike,Equipment,Brodie
5,Life Fitness Recumbent Bike 95Rxps,Equipment,Brodie
6,Life Fitness Recumbent Bike 95Rxps,Equipment,Brodie
7,Life Fitness - Integrity CLSC Upright Bike,Equipment,Brodie
8,Life Fitness Upright Bike 95CXPS,Equipment,Brodie
9,Life Fitness Upright Bike 95CXPS,Equipment,Brodie
10,Concept II Rower,Equipment,Brodie
11,Concept II Rower,Equipment,Brodie
12,Life Fitness - Integrity CLSC Upright Bike,Equipment,Brodie
13,IC7,Equipment,Brodie
14,Octane XT4700,Equipment,Brodie
15,Octane XTOne,Equipment,Brodie
16,Life Fitness Treadmill,Equipment,Brodie
17,Life Fitness Treadmill,Equipment,Brodie
18,Life Fitness Treadmill,Equipment,Brodie
19,Life Fitness Treadmill,Equipment,Brodie
20,Life Fitness Treadmill,Equipment,Brodie
21,Octane Pro4700,Equipment,Brodie
22,Octane XT4700,Equipment,Brodie
23,Octane Pro4700,Equipment,Brodie
24,Octane Pro4700,Equipment,Brodie
25,Life Fitness Treadmill,Equipment,Brodie
26,Octane Pro4700,Equipment,Brodie
27,Octane xRide,Equipment,Brodie
28,Octane XT4700,Equipment,Brodie
29,Octane xRide,Equipment,Brodie
30,Octane Pro4700,Equipment,Brodie
31,SCIFIT Systems,Equipment,Brodie
